English,Spanish
"INTRODUCTION 1. The Third Meeting of the Parties to the Montreal Protocol on Substances that Deplete the Ozone Layer was held at the headquarters of the United Nations Environment Programme, in Nairobi, from 19 to 21 June 1991.
","1. La Tercera Reunión de las Partes en el Protocolo de Montreal relativo a las sustancias que agotan la capa de ozono se celebró en Nairobi, en la sede del Programa de las Naciones Unidas para el Medio Ambiente, del 19 al 21 de junio de 1991.
"
"I. OPENING OF THE MEETING
","I. APERTURA DE LA REUNION
"
"A. Opening remarks by the outgoing President of the Meeting of
","A. Discurso inaugural del Presidente saliente de la Reunión
"
"the Parties to the Montreal Protocol on Substances
","de las Partes en el Protocolo de Montreal relativo
"
"that Deplete the Ozone Layer
","a las sustancias que agotan la capa de ozono
"
"2. The outgoing President, Mr. David Trippier, welcomed the delegates to the Meeting, and said that it was a time of splendid achievement, marked by the advance from a 50 per cent cut in CFCs and a freeze on halons to the phasing out of both by the end of the Century, control of other substances, acknowledgement of the unique position of transitional substances, recognition of the real difficulties experienced by developing countries in complying with control measures and a greater emphasis on the importance of technology transfer in enabling developing countries to meet their obligations under the Protocol.
","2. El Presidente saliente, Sr. David Trippier, dio la bienvenida a los delegados y dijo que era una época de realizaciones extraordinarias, marcada por el paso de una reducción del 50% de los CFC y de la congelación de los halones a la supresión progresiva de ambas categorías de productos para finales de siglo, el control de otras sustancias, la admisión de la situación excepcional de las sustancias de transición, el reconocimiento de las dificultades reales con que tropiezan los países en desarrollo para aplicar las medidas de control y una mayor insistencia en la importancia de la transferencia de tecnologías para que los países en desarrollo puedan cumplir sus obligaciones con arreglo al Protocolo.
"
"Not only had control measures been made more effective, but 17 countries had acceded to the Protocol since June 1990.
","No sólo se había dado mayor efectividad a las medidas de control, sino que 17 países se habían adherido al Protocolo desde junio de 1990.
"
"There were few examples in the history of diplomacy where so many nations had agreed solidly to address a common concern.
","Existen pocos ejemplos en la historia de la diplomacia en que tantas naciones hayan acordado firmemente abordar un problema común.
"
"3. The London agreement had represented a great advance on Montreal and Helsinki, including in particular the very problematical development of a new funding mechanism.
","3. El acuerdo de Londres había representado un gran avance con respecto a Montreal y Helsinki, en particular en lo que respecta a la creación muy problemática de un nuevo mecanismo de financiación.
"
"Mr. Trippier said that great credit was due to the untiring efforts of the Executive Committee and its Chairman and ViceChairman, Ambassadors Ristimaki and Mateos for making the Interim Multilateral Fund a reality.
","El Sr. Trippier dijo que eran sumamente encomiables los incansables esfuerzos realizados por el Comité Ejecutivo y su Presidente y Vicepresidente, los Embajadores Ristimaki y Mateos, para convertir el Fondo Multilateral Provisional en una realidad.
"
"There was however still a long way to go.
","No obstante, quedaba todavía un largo camino por recorrer.
"
